 Case_ID  IEC  AeroDyn15      ElastoDyn           ElastoDyn           ElastoDyn       ElastoDyn  ElastoDyn      ElastoDyn       ElastoDyn     Fst      Fst     Fst       Fst       Fst    Fst                                              InflowWind                                                                                     InflowWind                                           InflowWind  InflowWind    ServoDyn     ServoDyn     ServoDyn                             ServoDyn                            ServoDyn  ServoDyn    ServoDyn      ServoDyn      ServoDyn     ServoDyn   ServoDyn   ServoDyn  ServoDyn 
          DLC  AFAeroMod       BlPitch1            BlPitch2            BlPitch3         GenDOF     NacYaw        RotSpeed         YawDOF   CompElast    DT    DT_Out  OutFileFmt   TMax  TStart                                           FileName_BTS                                                                                   Filename_Uni                                          RefLength    WindType   BlPitchF(1)  BlPitchF(2)  BlPitchF(3)                          DLL_FileName                          GenTiStp   PCMode   PitManRat(1)  PitManRat(2)  PitManRat(3)  TPitManS1  TPitManS2  TPitManS3  TimGenOf 
    30    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed1.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed1.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    31    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed2.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed2.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    32    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed3.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed3.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    33    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed4.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed4.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    34    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed5.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed5.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    35    1.1      2            12.01               12.01               12.01            True       0.0     7.847664670658682     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed6.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U13.000000_Seed6.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    36    1.1      2            14.82               14.82               14.82            True       0.0     7.853053892215569     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed1.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed1.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    37    1.1      2            14.82               14.82               14.82            True       0.0     7.853053892215569     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed2.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed2.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    38    1.1      2            14.82               14.82               14.82            True       0.0     7.853053892215569     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed3.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed3.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    39    1.1      2            14.82               14.82               14.82            True       0.0     7.853053892215569     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed4.0.bts   /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U15.000000_Seed4.0.bts    206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
